Waiting for logger
Logger started
Register: tagionwave logger

Register: heartbeat logger

Register: local-tagion logger

Register: discovery logger

Register: discovery-internal logger

Register: dart.sync logger

Register: tagion.dart logger

1673363015 | WARN  | local-tagion: Sender not found
1673363016 | WARN  | local-tagion: Sender not found
1673363017 | WARN  | local-tagion: Sender not found
1673363018 | WARN  | local-tagion: Sender not found
1673363021 | WARN  | local-tagion: Sender not found
1673363022 | WARN  | local-tagion: Sender not found
1673363023 | WARN  | local-tagion: Sender not found
1673363026 | WARN  | local-tagion: Sender not found
1673363028 | WARN  | local-tagion: Sender not found
1673363029 | WARN  | local-tagion: Sender not found
1673363030 | WARN  | local-tagion: Sender not found
1673363031 | WARN  | local-tagion: Sender not found
1673363031 | WARN  | local-tagion: Sender not found
1673363035 | WARN  | local-tagion: Sender not found
1673363035 | WARN  | local-tagion: Sender not found
1673363043 | WARN  | local-tagion: Sender not found
1673363045 | WARN  | local-tagion: Sender not found
1673363047 | WARN  | local-tagion: Sender not found
1673363048 | WARN  | local-tagion: Sender not found
1673363051 | WARN  | local-tagion: Sender not found
1673363052 | WARN  | local-tagion: Sender not found
1673363054 | WARN  | local-tagion: Sender not found
1673363055 | WARN  | local-tagion: Sender not found
1673363056 | WARN  | local-tagion: Sender not found
1673363057 | WARN  | local-tagion: Sender not found
1673363059 | WARN  | local-tagion: Sender not found
1673363060 | WARN  | local-tagion: Sender not found
1673363062 | WARN  | local-tagion: Sender not found
1673363070 | WARN  | local-tagion: Sender not found
1673363072 | WARN  | local-tagion: Sender not found
1673363074 | WARN  | local-tagion: Sender not found
1673363075 | WARN  | local-tagion: Sender not found
1673363078 | WARN  | local-tagion: Sender not found
1673363079 | WARN  | local-tagion: Sender not found
1673363079 | WARN  | local-tagion: Sender not found
1673363081 | WARN  | local-tagion: Sender not found
1673363082 | WARN  | local-tagion: Sender not found
1673363083 | WARN  | local-tagion: Sender not found
1673363084 | WARN  | local-tagion: Sender not found
1673363087 | WARN  | local-tagion: Sender not found
1673363087 | WARN  | local-tagion: Sender not found
1673363088 | WARN  | local-tagion: Sender not found
1673363090 | WARN  | local-tagion: Sender not found
1673363093 | WARN  | local-tagion: Sender not found
1673363095 | WARN  | local-tagion: Sender not found
1673363096 | WARN  | local-tagion: Sender not found
